line,departure_name,departure_time,arrival_time,arrival_name,distance,pause,rotation_id,vehicle_type,temperature,level_of_loading,charging_type
LINE_2,Station-6,2022-03-08 06:26,2022-03-08 07:02,Station-0,14097,14,3,AB,,,
LINE_2,Station-0,2022-03-07 20:25,2022-03-07 20:26,Station-6,0.06,0,4,AB,,,
LINE_2,Station-6,2022-03-07 20:26,2022-03-07 20:56,Station-12,14097,14,4,AB,,,
LINE_2,Station-12,2022-03-07 21:10,2022-03-07 21:38,Station-6,13.19,8,4,AB,,,
LINE_2,Station-6,2022-03-07 21:46,2022-03-07 22:14,Station-7,13018,19,4,AB,,,
LINE_2,Station-7,2022-03-07 22:33,2022-03-07 22:53,Station-8,10332,17,4,AB,,,
LINE_2,Station-8,2022-03-07 23:10,2022-03-07 23:34,Station-7,10.48,19,4,AB,,,
LINE_2,Station-7,2022-03-07 23:53,2022-03-08 00:13,Station-8,10332,2,4,AB,,,
LINE_2,Station-8,2022-03-08 00:15,2022-03-08 00:16,Station-10,506,1,4,AB,,,
LINE_3,Station-10,2022-03-08 00:17,2022-03-08 00:40,Station-11,10579,7,4,AB,,,
LINE_3,Station-11,2022-03-08 00:47,2022-03-08 01:14,Station-10,12007,3,4,AB,,,
LINE_3,Station-10,2022-03-08 01:17,2022-03-08 01:40,Station-11,100,7,4,AB,,,
LINE_3,Station-11,2022-03-08 01:47,2022-03-08 02:14,Station-10,100,3,4,AB,,,
LINE_3,Station-10,2022-03-08 02:17,2022-03-08 02:40,Station-0,10579,7,4,AB,,,
LINE_2,Station-0,2022-03-08 05:26,2022-03-08 05:55,Station-6,14097,0,5,AB,,,
LINE_2,Station-6,2022-03-08 06:26,2022-03-08 07:02,Station-0,14097,14,5,AB,,,
LINE_2,Station-0,2022-03-07 20:25,2022-03-07 20:26,Station-6,0.06,0,6,AB,,,
LINE_2,Station-6,2022-03-07 20:26,2022-03-07 20:56,Station-12,14097,14,6,AB,,,
LINE_2,Station-12,2022-03-07 21:10,2022-03-07 21:38,Station-6,13.19,8,6,AB,,,
LINE_2,Station-6,2022-03-07 21:46,2022-03-07 22:14,Station-7,13018,19,6,AB,,,
LINE_2,Station-7,2022-03-07 22:33,2022-03-07 22:53,Station-8,10332,17,6,AB,,,
LINE_2,Station-8,2022-03-07 23:10,2022-03-07 23:34,Station-7,10.48,19,6,AB,,,
LINE_2,Station-7,2022-03-07 23:53,2022-03-08 00:13,Station-8,10332,2,6,AB,,,
LINE_2,Station-8,2022-03-08 00:15,2022-03-08 00:16,Station-10,506,1,6,AB,,,
LINE_3,Station-10,2022-03-08 00:17,2022-03-08 00:40,Station-11,10579,7,6,AB,,,
LINE_3,Station-11,2022-03-08 00:47,2022-03-08 01:14,Station-10,12007,3,6,AB,,,
LINE_3,Station-10,2022-03-08 01:17,2022-03-08 01:40,Station-11,100,7,6,AB,,,
LINE_3,Station-11,2022-03-08 01:47,2022-03-08 02:14,Station-10,100,3,6,AB,,,
LINE_3,Station-10,2022-03-08 02:17,2022-03-08 02:40,Station-0,10579,7,6,AB,,,
LINE_2,Station-0,2022-03-07 20:25,2022-03-07 20:26,Station-6,0.06,0,7,AB,,,
LINE_2,Station-6,2022-03-07 20:26,2022-03-07 20:56,Station-12,14097,14,7,AB,,,
LINE_2,Station-12,2022-03-07 21:10,2022-03-07 21:38,Station-6,13.19,8,7,AB,,,
LINE_2,Station-6,2022-03-07 21:46,2022-03-07 22:14,Station-7,13018,19,7,AB,,,
LINE_2,Station-7,2022-03-07 22:33,2022-03-07 22:53,Station-8,10332,17,7,AB,,,
LINE_2,Station-8,2022-03-07 23:10,2022-03-07 23:34,Station-7,10.48,19,7,AB,,,
LINE_2,Station-7,2022-03-07 23:53,2022-03-08 00:13,Station-8,10332,2,7,AB,,,
LINE_2,Station-8,2022-03-08 00:15,2022-03-08 00:16,Station-10,506,1,7,AB,,,
LINE_3,Station-10,2022-03-08 00:17,2022-03-08 00:40,Station-11,10579,7,7,AB,,,
LINE_3,Station-11,2022-03-08 00:47,2022-03-08 01:14,Station-10,12007,3,7,AB,,,
LINE_3,Station-10,2022-03-08 01:17,2022-03-08 01:40,Station-11,100,7,7,AB,,,
LINE_3,Station-11,2022-03-08 01:47,2022-03-08 02:14,Station-10,100,3,7,AB,,,
LINE_3,Station-10,2022-03-08 02:17,2022-03-08 02:40,Station-0,10579,7,7,AB,,,
LINE_2,Station-0,2022-03-08 05:26,2022-03-08 05:55,Station-6,14097,0,8,AB,,,
LINE_2,Station-6,2022-03-08 06:26,2022-03-08 07:02,Station-0,14097,14,8,AB,,,
LINE_2,Station-0,2022-03-07 20:25,2022-03-07 20:26,Station-6,0.06,0,9,AB,,,
LINE_2,Station-6,2022-03-07 20:26,2022-03-07 20:56,Station-12,14097,14,9,AB,,,
LINE_2,Station-12,2022-03-07 21:10,2022-03-07 21:38,Station-6,13.19,8,9,AB,,,
LINE_2,Station-6,2022-03-07 21:46,2022-03-07 22:14,Station-7,13018,19,9,AB,,,
LINE_2,Station-7,2022-03-07 22:33,2022-03-07 22:53,Station-8,10332,17,9,AB,,,
LINE_2,Station-8,2022-03-07 23:10,2022-03-07 23:34,Station-7,10.48,19,9,AB,,,
LINE_2,Station-7,2022-03-07 23:53,2022-03-08 00:13,Station-8,10332,2,9,AB,,,
LINE_2,Station-8,2022-03-08 00:15,2022-03-08 00:16,Station-10,506,1,9,AB,,,
LINE_3,Station-10,2022-03-08 00:17,2022-03-08 00:40,Station-11,10579,7,9,AB,,,
LINE_3,Station-11,2022-03-08 00:47,2022-03-08 01:14,Station-10,12007,3,9,AB,,,
LINE_3,Station-10,2022-03-08 01:17,2022-03-08 01:40,Station-11,100,7,9,AB,,,
LINE_3,Station-11,2022-03-08 01:47,2022-03-08 02:14,Station-10,100,3,9,AB,,,
LINE_3,Station-10,2022-03-08 02:17,2022-03-08 02:40,Station-0,10579,7,9,AB,,,
LINE_2,Station-0,2022-03-08 05:26,2022-03-08 05:55,Station-6,14097,0,10,AB,,,
LINE_2,Station-6,2022-03-08 06:26,2022-03-08 07:02,Station-0,14097,14,10,AB,,,
LINE_2,Station-0,2022-03-08 05:26,2022-03-08 05:55,Station-6,14097,0,11,AB,,,
LINE_2,Station-6,2022-03-08 06:26,2022-03-08 07:02,Station-0,14097,14,11,AB,,,
